collection_id,movie_id,release_year
9735,6466,2003
91663,813,1980
91663,2665,1982
9743,274,1991
9743,9533,2002
9743,9740,2001
9744,1979,2007
9744,9738,2005
288280,11009,1977
288280,10805,1983
978459,11970,1997
978459,153609,1999
167456,23728,1966
167456,24130,1967
167456,315797,1976
372257,551,1972
372257,31638,1979
1570,562,1988
1570,1571,2007
1570,1572,1995
1570,1573,1990
1570,47964,2013
321063,15515,1958
321063,17897,1973
321063,11940,1977
1575,1246,2006
1575,1366,1976
1575,1367,1979
1575,1371,1982
1575,1374,1985
1575,1375,1990
1582,1497,1991
1582,1498,1990
1582,1499,1993
110127,9535,1999
110127,9932,2002
52785,7451,2002
52785,11679,2005
52785,47971,2017
63043,97,1982
63043,20526,2010
63043,533533,2025
294468,17984,1961
294468,19762,1963
468552,297762,2017
468552,464052,2020
124492,1654,1967
124492,36573,1988
124492,36571,1985
124492,36572,1987
212562,64688,2012
212562,187017,2014
9818,9312,1995
9818,9823,1997
980582,19136,1941
980582,29289,1943
980582,179391,1944
980582,179396,1945
1064555,9837,1998
1064555,16366,2000
294519,15944,1959
294519,15943,1976
294519,293777,1987
1657,1656,2005
1657,9342,1998
964225,13945,1982
964225,47065,2010
1269386,13763,1984
1269386,41762,1990
173710,61791,2011
173710,119450,2014
173710,281338,2017
173710,653346,2024
530064,694,1980
530064,501170,2019
267922,12262,1977
267922,18477,1985
448150,293660,2016
448150,383498,2018
448150,533535,2024
9888,771,1990
9888,772,1992
9888,9714,1997
9888,12536,2002
747168,496,2006
747168,740985,2020
1709,871,1968
1709,1685,1970
1709,1687,1971
1709,1688,1972
1709,1705,1973
786095,21968,1972
786095,119327,1973
786095,14707,1990
167613,6477,2007
167613,23398,2009
167613,55301,2011
167613,258509,2015
464577,49519,2013
464577,529203,2020
1733,564,1999
1733,1734,2001
1733,1735,2008
718551,7443,2000
718551,520758,2023
1048282,949,1995
382685,75656,2013
382685,291805,2016
382685,425274,2025
151263,860,1983
151263,14154,2008
595693,381719,2018
595693,522478,2021
134897,77931,2013
134897,41513,2011
52984,2059,2004
52984,6637,2007
52988,9595,1991
52988,9255,1993
313086,138843,2013
313086,259693,2016
313086,423108,2021
313086,1038392,2025
1070848,143,1930
1070848,139793,1937
1371907,447404,2019
405256,19174,1975
405256,32100,1976
405256,302750,2002
405256,58734,1999
112399,8845,1992
112399,3512,1995
284433,118340,2014
284433,283995,2017
284433,447365,2023
12087,10869,1974
12087,11451,2005
12087,12129,1980
12087,14140,1977
12087,14136,1968
12087,32643,1997
458558,11631,2008
458558,458423,2018
1314623,350,2006
945984,6479,2007
94032,11430,2004
94032,9732,1998
94032,8587,1994
155474,1051,1971
155474,10711,1975
36694,11690,1988
36694,25087,1996
36694,36692,1996
36694,36693,1999
726871,438631,2021
726871,693134,2024
726871,1170608,2026
325470,137106,2014
325470,280217,2019
85861,90,1984
85861,96,1987
85861,306,1994
85861,280180,2024
366444,29912,1953
366444,43332,1954
92012,9836,2006
92012,65759,2011
724848,287947,2019
724848,594767,2023
556928,17661,1944
556928,32430,1945
391040,16246,1974
391040,54498,1982
391040,83507,1983
1234824,5255,2004
405393,17264,1979
405393,24883,1983
405393,42418,2003
8091,348,1979
8091,679,1986
8091,8077,1992
8091,8078,1997
544669,211672,2015
544669,438148,2022
544670,335797,2016
544670,438695,2021
987044,475557,2019
987044,889737,2024
647077,9602,1988
647077,484718,2021
53159,11395,1994
53159,9021,2002
53159,13767,2006
1960,764,1981
1960,765,1987
