movie_id,title,release_year,budget,revenue,vote_average,collection_id
1396363,Who Are My Parents?,1922,0,0,0.0,
1393495,When the Desert Calls,1922,0,0,0.0,
1390011,Shirley of the Circus,1922,0,0,0.0,
1387859,A Pasteboard Crown,1922,0,0,0.0,
1387783,The Fable of the Worm That Turned,1922,0,0,0.0,
1387623,Sure-Fire Flint,1922,0,0,0.0,
22596,Safety Last!,1923,121000,1500000,7.7,
1421275,Mind Over Motor,1923,0,0,0.0,
1407322,An Old Sweetheart of Mine,1923,0,0,0.0,
1407181,Lost in a Big City,1923,0,0,0.0,
1404013,Does It Pay?,1923,0,0,0.0,
1400960,The Battle,1923,0,0,0.0,
1399376,The Broken Violin,1923,0,0,0.0,
1396489,The Wheel of Fortune,1923,0,0,0.0,
1394320,The Man Between,1923,0,0,0.0,
1394317,Mothers-in-Law,1923,0,0,0.0,
1391813,One of Three,1923,0,0,0.0,
1390019,Salty Saunders,1923,0,0,0.0,
1390005,The Go-Getter,1923,0,0,0.0,
1389947,Children of Dust,1923,0,0,0.0,
1387511,The Leavenworth Case,1923,0,0,0.0,
1387505,The Little Red Schoolhouse,1923,0,0,0.0,
1387497,Youthful Cheaters,1923,0,0,0.0,
1387482,The Woman in Chains,1923,0,0,0.0,
1386005,After Dark,1923,0,0,0.0,
1383132,The Silent Partner,1923,0,0,0.0,
1381933,The Stork's Mistake,1923,0,0,0.0,
1381837,The Showdown,1923,0,0,0.0,
1381724,Spooks,1923,0,0,0.0,
1381621,The Fable of the Spider and the Fly,1923,0,0,0.0,
1380653,The Ragged Edge,1923,0,0,0.0,
40574,Girl Shy,1924,400000,1550000,6.9,
28963,The Thief of Bagdad,1924,1135654,1490419,7.326,
27511,He Who Gets Slapped,1924,172000,881000,7.6,
53824,Romola,1924,0,497234,6.0,
144613,Beau Brummel,1924,343000,495000,6.8,
1405,Greed,1924,665603,274827,7.4,
621357,Triumph,1924,0,245919,0.0,
1409806,All's Swell on the Ocean,1924,0,0,0.0,
1409560,Regatas de traineras,1924,0,0,0.0,
1407236,Floodgates,1924,0,0,0.0,
1405426,Koko's Big Catch,1924,0,0,0.0,
1405366,Raumabanen - Norges nyeste turistbane,1924,0,0,0.0,
1404010,Love of Women,1924,0,0,0.0,
1402251,Goodbye My Lady Love,1924,0,0,0.0,
1402246,The Laundry,1924,0,0,0.0,
1402237,"Mother, Mother, Mother Pin a Rose on Me",1924,0,0,0.0,
1400975,Proxy Lover: A Fable of the Future,1924,0,0,0.0,
1399213,Who's Cheating?,1924,0,0,0.0,
1399212,The Lure of Love,1924,0,0,0.0,
1397668,The Last Word in Chickens,1924,0,0,7.0,
1396016,the secret of the lighthouse,1924,0,0,0.0,
1395801,Honor Among Men,1924,0,0,0.0,
1394311,The Mirage,1924,0,0,0.0,
1393362,Her Own Free Will,1924,0,0,0.0,
1391590,Those Who Judge,1924,0,0,0.0,
3060,The Big Parade,1925,382000,20000000,7.6,
31510,Ben-Hur: A Tale of the Christ,1925,3900000,9000000,7.3,
962,The Gold Rush,1925,923000,4000000,8.0,
295448,His People,1925,93000,3000000,0.0,
964,The Phantom of the Opera,1925,0,2000000,7.1,
141914,Stella Dallas,1925,0,1500000,7.1,
27505,The Unholy Three,1925,103000,704000,6.755,
